onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	answer	test_x	test_y	test_z	color_r	color_g	color_b	case	font
597.744	n/a	WORD	298872	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	0	GRAVEL	659	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
600.756	n/a	START	300378	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
608.756	n/a	STOP	304378	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
609.892	n/a	WORD	304946	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	0	TOENAIL	1474	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
612.906	n/a	START	306453	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
613.938	n/a	PROB	306969	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	15	8	3	4	n/a	n/a	n/a	n/a	n/a
617.566	n/a	PROB	308783	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	10	2	3	5	n/a	n/a	n/a	n/a	n/a
619.598	n/a	STOP	309799	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
622.076	n/a	WORD	311038	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	0	ARM	38	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
625.088	n/a	START	312544	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
626.152	n/a	PROB	313076	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17	6	7	4	n/a	n/a	n/a	n/a	n/a
628.316	n/a	PROB	314158	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	19	4	9	6	n/a	n/a	n/a	n/a	n/a
630.114	n/a	PROB	315057	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	20	3	8	9	n/a	n/a	n/a	n/a	n/a
632.31	n/a	STOP	316155	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
635.022	n/a	REC_START	317511	n/a	LTP250	ltpFR	15	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
636.934	n/a	REC_WORD	318467	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	0	GROOM	665	n/a	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
637.832	n/a	REC_WORD	318916	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	1	MATCH	878	n/a	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
639.198	n/a	REC_WORD	319599	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	0	CABLE	213	n/a	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
640.066	n/a	REC_WORD	320033	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	n/a	TV	-1	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
646.008	n/a	REC_WORD	323004	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	0	AUTOMOBILE	62	n/a	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
650.21	n/a	REC_WORD	325105	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	1	BRIDGE	174	n/a	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
713.206	n/a	WORD	356603	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	3	0	POTATO	1115	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
717.068	n/a	WORD	358534	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	3	0	VENT	1556	n/a	n/a	1	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
721.262	n/a	WORD	360631	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	3	1	NITROGEN	954	n/a	n/a	0	n/a	0	0	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
725.406	n/a	WORD	362703	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	3	1	LOBSTER	837	n/a	n/a	1	n/a	0	0	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
729.316	n/a	WORD	364658	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	3	0	MAN	862	n/a	n/a	1	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
